matchkey,donorkey,facilitykey,matchstatus,matchsubstatus,matchCreated,closedOrDelivered,enumcode,qty
d41332c5-db51-4eed-bb51-5f7a427ca1e0,34de104d-a8e2-43ee-8aee-0b53fa1b63bf,0000a211-b8b2-4435-a51d-d246529b32f4,delivered,,2020-12-24 00:00:00 UTC,2021-01-05 15:33:25.882 UTC,sanitizer,80
0406b800-48c5-458a-b2e4-52b72a1c8ec4,3605275c-bf71-4323-9234-71792cb2e442,001b58ec-ee04-48de-a692-47fafbee73d7,delivered,,2021-04-03 00:40:07.902 UTC,2021-03-26 00:00:00 UTC,kn95,1
33c022fa-d7f5-4d66-aaee-2b4771fafbae,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,001b58ec-ee04-48de-a692-47fafbee73d7,closed,no_contact_facility,2021-05-24 22:30:03.77 UTC,2021-06-17 22:24:10.504 UTC,kn95,1000
33c022fa-d7f5-4d66-aaee-2b4771fafbae,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,001b58ec-ee04-48de-a692-47fafbee73d7,closed,no_contact_facility,2021-05-24 22:30:03.77 UTC,2021-06-17 22:24:10.504 UTC,nitrile_gloves,2000
33c022fa-d7f5-4d66-aaee-2b4771fafbae,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,001b58ec-ee04-48de-a692-47fafbee73d7,closed,no_contact_facility,2021-05-24 22:30:03.77 UTC,2021-06-17 22:24:10.504 UTC,face_shield,500
33c022fa-d7f5-4d66-aaee-2b4771fafbae,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,001b58ec-ee04-48de-a692-47fafbee73d7,closed,no_contact_facility,2021-05-24 22:30:03.77 UTC,2021-06-17 22:24:10.504 UTC,gown,200
33c022fa-d7f5-4d66-aaee-2b4771fafbae,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,001b58ec-ee04-48de-a692-47fafbee73d7,closed,no_contact_facility,2021-05-24 22:30:03.77 UTC,2021-06-17 22:24:10.504 UTC,sanitizer,1000
4234e799-d8f7-4af5-b412-bafd101b6900,c2b5e375-d44c-4f20-bc80-4f39defb7b7e,001b58ec-ee04-48de-a692-47fafbee73d7,delivered,,2021-05-21 16:16:57.126 UTC,2021-06-29 19:22:09.021 UTC,three_ply_mask,7500
6089586c-3314-49d0-801e-a609d3e1adba,3605275c-bf71-4323-9234-71792cb2e442,001b58ec-ee04-48de-a692-47fafbee73d7,delivered,,2021-04-03 01:57:40.433 UTC,2021-03-26 00:00:00 UTC,kn95,1799
b7ec04ed-eba3-44db-a7f8-e6416bcae95c,3605275c-bf71-4323-9234-71792cb2e442,001b58ec-ee04-48de-a692-47fafbee73d7,delivered,,2021-04-03 01:57:41.99 UTC,2021-03-26 00:00:00 UTC,three_ply_mask,11986
df24127b-ab6b-45da-a068-ab9d59c42661,3605275c-bf71-4323-9234-71792cb2e442,001b58ec-ee04-48de-a692-47fafbee73d7,delivered,,2021-04-03 00:43:24.273 UTC,2021-03-26 00:00:00 UTC,three_ply_mask,12
ec8ba0cc-0426-499d-a6c9-fb5e16494ceb,def7763a-72c2-4824-a3ab-72229fcbe31d,001b58ec-ee04-48de-a692-47fafbee73d7,delivered,,2021-05-24 22:09:54.792 UTC,2021-07-09 20:00:42.608 UTC,three_ply_mask,2800
f309d972-3a5c-4e8e-a717-5f09b549cfbd,39d5dce2-f880-406c-80b3-07bccceecd11,001b58ec-ee04-48de-a692-47fafbee73d7,delivered,,2021-04-22 19:21:49.189 UTC,2021-07-12 01:16:47.773 UTC,gown,1600
f309d972-3a5c-4e8e-a717-5f09b549cfbd,39d5dce2-f880-406c-80b3-07bccceecd11,001b58ec-ee04-48de-a692-47fafbee73d7,delivered,,2021-04-22 19:21:49.189 UTC,2021-07-12 01:16:47.773 UTC,face_shield,1500
f309d972-3a5c-4e8e-a717-5f09b549cfbd,39d5dce2-f880-406c-80b3-07bccceecd11,001b58ec-ee04-48de-a692-47fafbee73d7,delivered,,2021-04-22 19:21:49.189 UTC,2021-07-12 01:16:47.773 UTC,n95,17000
e2b7d960-01cf-417c-ae98-2200c5d0c9bb,037f4686-156c-46c2-904a-500ce4d38a02,003f62cd-2570-4297-a6ff-c06d5a44dbb8,delivered,,2020-05-27 00:00:00 UTC,2020-10-14 07:10:21 UTC,n95,100
3ae68e14-9595-4252-8700-57ba8a37ddb3,f215c15d-3884-4698-9092-fa952f0267c2,004d988d-7f3d-4ab7-b7e7-9d9b9bcd0457,delivered,,2020-05-08 00:00:00 UTC,2020-10-14 07:10:41 UTC,n95,7000
5d6e258d-498a-4f4a-af8a-e28d697ac0c8,0880ee46-8273-4893-bad1-bfa9e8ce613c,00572de9-054b-4276-862b-53623b2a0403,closed,,2021-02-24 02:00:03.514 UTC,2021-04-12 22:56:40.016 UTC,kn95,10
08752b86-1666-4c7d-a5bf-ab18d97e445b,d96be509-daad-4db7-a5c7-0b31eff055b4,00711a8a-c75a-4e04-bc18-fa4cafd39b37,closed,no_supply,2020-07-18 22:04:45.974 UTC,2020-07-28 10:07:53 UTC,surgical_mask,10
a977910b-89bb-4862-8a61-073a0f00f605,c0048958-7595-4551-a608-d41ff097ac79,0074cf69-1f73-487c-ab52-d7955d17beb8,delivered,,2020-05-03 00:00:00 UTC,2020-10-14 07:10:24 UTC,surgical_mask,150
c77b8f8c-f8d0-48d2-8d75-85440e133fb4,a9d1bc3a-4b55-4779-9ba1-f878247c3c78,0098e6bb-08f5-4a46-b20d-4db96784c88f,delivered,,2020-06-24 00:00:00 UTC,2020-10-14 08:10:36 UTC,cloth_mask,10
e12f2298-067e-4c92-9d67-935e242178ea,bd8fb9de-b900-46b1-8ab3-f1f32c46e7c3,00996f0a-703b-48cf-ba1a-2c78c05f3b51,closed,no_supply,2020-08-04 03:59:38.073 UTC,2020-08-10 10:08:56 UTC,nitrile_gloves,500
1e04375c-bd18-4b8c-bcef-bf5857f72f0b,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,closed,prefers_different,2021-05-24 22:30:10.149 UTC,2021-06-18 00:02:42.471 UTC,kn95,1
1e04375c-bd18-4b8c-bcef-bf5857f72f0b,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,closed,prefers_different,2021-05-24 22:30:10.149 UTC,2021-06-18 00:02:42.471 UTC,nitrile_gloves,0
1e04375c-bd18-4b8c-bcef-bf5857f72f0b,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,closed,prefers_different,2021-05-24 22:30:10.149 UTC,2021-06-18 00:02:42.471 UTC,face_shield,0
1e04375c-bd18-4b8c-bcef-bf5857f72f0b,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,closed,prefers_different,2021-05-24 22:30:10.149 UTC,2021-06-18 00:02:42.471 UTC,gown,0
1e04375c-bd18-4b8c-bcef-bf5857f72f0b,3f2628ff-54bd-4c3e-9002-f87c9a1ff49f,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,closed,prefers_different,2021-05-24 22:30:10.149 UTC,2021-06-18 00:02:42.471 UTC,sanitizer,2
e5bf4e5c-7702-441d-91fd-32e313c99db6,4d4a58a1-f187-4b16-bd64-b73f7b736e29,00d0a9ff-76cc-470c-bf9b-7ff38a88e759,delivered,,2021-06-25 12:24:54.53 UTC,2021-07-09 20:36:02.514 UTC,sanitizer,125
858c2cec-10de-417e-844e-19d740dcedd0,9ddda6e9-e9bb-4008-a1b9-23774f0ba6a2,00d7dd48-2a09-46b7-956d-44dbc19b77fb,delivered,,2020-11-25 01:20:25.107 UTC,2020-11-25 02:20:33.645 UTC,n95,300
19b7c7f1-1519-43ca-8416-f04815118ac2,95821054-364a-4dad-b549-3de9be479b64,00ea8a0e-4100-4bd7-8b80-367fd2b1544d,closed,prefers_different,2020-09-04 01:40:08.936 UTC,2020-09-04 01:09:55 UTC,coveralls,100
a7f532fd-0e98-460f-bf30-7084a713efed,9456c37f-a1b9-4076-b244-38f375ef03c8,00ed0754-efbc-48d8-b215-12634c94850c,delivered,,2020-04-24 00:00:00 UTC,2020-10-14 07:10:39 UTC,coveralls,1000
8f1b18f7-97d5-4511-be8c-c6aad8fdedfd,9ddda6e9-e9bb-4008-a1b9-23774f0ba6a2,00ef2668-4437-40bd-b78b-130703a0affb,closed,no_supply,2020-08-13 18:07:14.74 UTC,2020-08-17 07:08:32 UTC,n95,200
43e0c090-1e1d-4fe5-911b-ac8cc5e13909,ca0af8e2-7c7c-4b0c-a315-78a546849221,0105133c-0605-4b6b-be33-85d9be4c19da,closed,no_supply,2020-07-28 14:49:46.269 UTC,2020-07-29 05:07:28 UTC,cloth_mask,20
b6e8c647-2695-4b48-9bd0-6741f73668fd,35410c7b-e7cf-4dc0-9e93-1f4f31a56039,0105133c-0605-4b6b-be33-85d9be4c19da,delivered,,2020-07-29 17:25:35.369 UTC,2020-08-17 09:08:28 UTC,cloth_mask,10
2b78e82a-c8a8-49ad-939e-0781c4e13642,bd8fb9de-b900-46b1-8ab3-f1f32c46e7c3,011537a5-b15f-4a99-814a-dc2cf21d86b4,closed,no_supply,2020-08-04 04:08:36.936 UTC,2020-08-10 10:08:24 UTC,nitrile_gloves,300
03ed968c-4f36-46ba-8581-5dcc0013317d,8a8a49d1-bff1-4ff6-9c7a-6d413d8b88be,011a1c62-91ae-43cc-8415-e908c6166c0d,closed,no_supply,2020-06-25 00:00:00 UTC,2020-10-14 07:10:41 UTC,cloth_mask,0
