donorKey,donationkey,equipmentEnum,qty,datecreated,dataSource,stateprovince
d7aa179b-f06a-4118-8e08-c799f0a54048,7a9864c6-24ad-49a3-8299-59e0095ea139,face_shield,300,2020-05-22 07:38:09.981 UTC,Guppe Intake,SD
c1c0d6b5-6c7a-4cf9-98b7-e4dc2feacdd6,0ff7853a-4603-4fc8-be27-ff840487f134,n95,40,2020-04-29 17:04:31.05 UTC,Guppe Intake,Fl
a7082d63-5d1c-47e8-a1b7-86151414a71c,d837fab8-4435-41b4-a57e-5ce4a62eef4b,cloth_mask,10,2020-10-05 17:47:49.178 UTC,Guppe Intake,IA
b89d40e9-7de9-4df9-85e5-e5bf7cfadcb1,74d0e16f-4feb-4fa6-9790-7358f7f7dd6e,three_ply_mask,675,2021-05-11 13:48:01.485 UTC,Guppe Intake,NH
b89d40e9-7de9-4df9-85e5-e5bf7cfadcb1,74d0e16f-4feb-4fa6-9790-7358f7f7dd6e,kn95,8943,2021-05-11 13:48:01.485 UTC,Guppe Intake,NH
b89d40e9-7de9-4df9-85e5-e5bf7cfadcb1,74d0e16f-4feb-4fa6-9790-7358f7f7dd6e,safety_goggles,5000,2021-05-11 13:48:01.485 UTC,Guppe Intake,NH
b89d40e9-7de9-4df9-85e5-e5bf7cfadcb1,74d0e16f-4feb-4fa6-9790-7358f7f7dd6e,face_shield,1080,2021-05-11 13:48:01.485 UTC,Guppe Intake,NH
b89d40e9-7de9-4df9-85e5-e5bf7cfadcb1,74d0e16f-4feb-4fa6-9790-7358f7f7dd6e,coveralls,5000,2021-05-11 13:48:01.485 UTC,Guppe Intake,NH
ae7b6f76-3385-4914-8640-eb59dc93cacd,6c3cecad-2e9d-47d4-afec-fc1e3db082b2,cloth_mask,200,2021-01-06 01:09:48.823 UTC,Guppe Intake,NH
719cc3de-5b1f-4dc6-be1d-ee98cab4da2d,fa8e05cf-3373-4129-9d4a-2f1e327f13f4,thermometer,20,2021-04-16 20:18:00.558 UTC,Guppe Intake,nj
e4328eee-a304-43a5-bd01-dc7772ad0496,7dac1210-3258-4609-a588-82537c5edbc2,surgical_mask,200,2020-04-28 06:40:00.794 UTC,Guppe Intake,Honghong
