ppe_types_requested,datecreated,facility_type,stateprovince,county,censustractfips
"N95 Respirators, Surgical Masks",2020-03-19 11:14:00+00:00,,WA,King,53033004701
"N95 Respirators, Surgical Masks",2020-03-19 14:37:00+00:00,,CA,San Francisco,
"N95 Respirators, Surgical Masks",2020-03-19 14:58:12+00:00,,MA,Middlesex,25017338100
"Surgical Masks, N95 Respirators",2020-03-19 15:11:00+00:00,,WA,King,53033028600
"N95 Respirators, Surgical Masks",2020-03-19 15:11:30+00:00,,WA,King,53033028600
"Surgical Masks, N95 Respirators",2020-03-19 15:19:00+00:00,,UT,Grand,49019000200
"Surgical Masks, N95 Respirators",2020-03-19 15:19:46+00:00,,UT,Grand,49019000200
"N95 Respirators, Face Shields",2020-03-19 15:40:17+00:00,,CA,Santa Clara,06085502101
"Surgical Masks, N95 Respirators, Nitrile Gloves, Disposable Booties",2020-03-19 15:52:02+00:00,,NV,Washoe,32031003111
"Surgical Masks, N95 Respirators, Face Shields",2020-03-19 18:19:00+00:00,,OK,Jackson,40065968800
"Face Shields, Surgical Masks, N95 Respirators",2020-03-19 18:19:30+00:00,,OK,Jackson,40065968800
"Nitrile Gloves, Surgical Masks, Face Shields, N95 Respirators",2020-03-20 00:04:09+00:00,,WA,King,53033032220
"Face Shields, Nitrile Gloves, N95 Respirators, Surgical Masks",2020-03-20 03:07:00+00:00,,NY,Erie,36029017000
"Surgical Masks, N95 Respirators, Face Shields, Nitrile Gloves",2020-03-20 03:07:13+00:00,,NY,Erie,36029017000
"Disposable Booties, Surgical Masks, Face Shields, Nitrile Gloves, N95 Respirators",2020-03-20 03:19:00+00:00,,OR,Lincoln,41041951100
"N95 Respirators, Nitrile Gloves, Face Shields, Surgical Masks, Disposable Booties",2020-03-20 03:19:46+00:00,,OR,Lincoln,41041951100
"Hand Sanitizer, Disinfecting Wipes, Face Shields, Surgical Masks, N95 Respirators, Nitrile Gloves, Gowns",2020-03-20 08:09:00+00:00,,MA,Suffolk,25025010300
"N95 Respirators, Face Shields, Surgical Masks, Gowns, Nitrile Gloves, Hand Sanitizer, Disinfecting Wipes",2020-03-20 08:09:12+00:00,,MA,Suffolk,25025010300
"Face Shields, Disposable Booties, Nitrile Gloves, Surgical Masks, N95 Respirators",2020-03-20 08:42:59+00:00,,CA,Los Angeles,06037203300
"Surgical Masks, N95 Respirators, Nitrile Gloves, Face Shields",2020-03-20 08:57:00+00:00,,WA,Snohomish,53061050402
"Surgical Masks, Face Shields, N95 Respirators, Nitrile Gloves",2020-03-20 08:57:57+00:00,,WA,Snohomish,53061050402
"Disposable Booties, Face Shields, N95 Respirators, Nitrile Gloves, Surgical Masks",2020-03-20 09:27:00+00:00,,TX,Williamson,48491021516
"Nitrile Gloves, Face Shields, N95 Respirators, Surgical Masks, Disposable Booties",2020-03-20 09:27:45+00:00,,TX,Williamson,48491021516
"Nitrile Gloves, Disposable Booties, N95 Respirators, Hand Sanitizer, Surgical Masks",2020-03-20 10:30:14+00:00,,NY,Bronx,36005006500
"Face Shields, N95 Respirators, Surgical Masks",2020-03-20 10:41:07+00:00,,CA,Santa Clara,
"Face Shields, Disposable Booties, N95 Respirators, Nitrile Gloves, Surgical Masks",2020-03-20 11:22:28+00:00,,NY,Ontario,36069051001
"Disposable Booties, Nitrile Gloves, Hand Sanitizer, Surgical Masks, Thermometers, N95 Respirators, Face Shields, Disinfecting Wipes, Gowns",2020-03-20 11:45:00+00:00,,MA,Suffolk,25025071101
"Gowns, Thermometers, Disposable Booties, Surgical Masks, Nitrile Gloves, Face Shields, N95 Respirators",2020-03-20 11:45:26+00:00,,MA,Suffolk,25025071101
"N95 Respirators, Surgical Masks, Face Shields, Gowns, Disposable Booties, Nitrile Gloves",2020-03-20 12:55:00+00:00,,WA,Pierce,53053071805
"N95 Respirators, Disposable Booties, Gowns, Face Shields, Surgical Masks, Nitrile Gloves",2020-03-20 12:55:06+00:00,,WA,Pierce,53053071805
"Nitrile Gloves, Face Shields, N95 Respirators, Hand Sanitizer, Disinfecting Wipes, Surgical Masks",2020-03-20 13:34:18+00:00,,ME,Penobscot,23019000700
"N95 Respirators, Disposable Booties, Surgical Masks, Nitrile Gloves, Face Shields",2020-03-20 13:47:00+00:00,,OR,Clackamas,41005022107
"Nitrile Gloves, Surgical Masks, N95 Respirators, Face Shields, Disposable Booties",2020-03-20 13:47:06+00:00,,OR,Clackamas,41005022107
"Surgical Masks, N95 Respirators, Gowns",2020-03-20 13:54:19+00:00,,MA,Middlesex,25017352900
"Nitrile Gloves, N95 Respirators, Surgical Masks, Face Shields",2020-03-20 14:28:48+00:00,,CA,Los Angeles,06037191302
