time,county,stateprovince,num_requests
2020-03-01,Anchorage,AK,2
2020-03-01,Hoonah-Angoon,AK,1
2020-03-01,Baldwin,AL,4
2020-03-01,Diamandveld,AL,1
2020-03-01,Houston,AL,2
2020-03-01,Jefferson,AL,10
2020-03-01,Limestone,AL,1
2020-03-01,Madison,AL,2
2020-03-01,Montgomery,AL,1
2020-03-01,Morgan,AL,1
2020-03-01,Russell,AL,2
2020-03-01,Shelby,AL,2
2020-03-01,Toronto Division,AL,1
2020-03-01,Boone,AR,2
2020-03-01,Carroll,AR,2
2020-03-01,Clay,AR,2
2020-03-01,Craighead,AR,1
2020-03-01,Lahore,AR,1
2020-03-01,Madison,AR,2
2020-03-01,Marion,AR,2
2020-03-01,Newton,AR,2
2020-03-01,Pulaski,AR,2
2020-03-01,Stone,AR,2
2020-03-01,Van Buren,AR,6
2020-03-01,Washington,AR,2
2020-03-01,Cochise,AZ,4
2020-03-01,Coconino,AZ,8
2020-03-01,Maricopa,AZ,45
2020-03-01,Mohave,AZ,3
2020-03-01,Pima,AZ,15
2020-03-01,Yavapai,AZ,4
2020-03-01,Alameda,CA,67
2020-03-01,Butte,CA,6
2020-03-01,Contra Costa,CA,24
2020-03-01,El Dorado,CA,3
2020-03-01,Fresno,CA,15
2020-03-01,Glenn,CA,1
2020-03-01,Imperial,CA,2
2020-03-01,Kern,CA,8
2020-03-01,Los Angeles,CA,246
2020-03-01,Madera,CA,2
2020-03-01,Marin,CA,6
2020-03-01,Mono,CA,2
2020-03-01,Monterey,CA,1
2020-03-01,Napa,CA,3
2020-03-01,Orange,CA,65
2020-03-01,Placer,CA,12
2020-03-01,Riverside,CA,22
2020-03-01,Sacramento,CA,24
2020-03-01,San Bernardino,CA,18
2020-03-01,San Diego,CA,40
2020-03-01,San Francisco,CA,45
2020-03-01,San Joaquin,CA,11
2020-03-01,San Luis Obispo,CA,2
2020-03-01,San Mateo,CA,32
2020-03-01,Santa Barbara,CA,10
2020-03-01,Santa Clara,CA,70
2020-03-01,Santa Cruz,CA,8
2020-03-01,Solano,CA,4
2020-03-01,Sonoma,CA,8
2020-03-01,Stanislaus,CA,7
2020-03-01,Sutter,CA,1
2020-03-01,Tulare,CA,7
2020-03-01,Ventura,CA,17
2020-03-01,Yolo,CA,2
2020-03-01,Adams,CO,4
2020-03-01,Alamosa,CO,2
2020-03-01,Arapahoe,CO,11
2020-03-01,Boulder,CO,3
2020-03-01,Denver,CO,14
2020-03-01,Douglas,CO,1
2020-03-01,El Paso,CO,4
2020-03-01,Fremont,CO,2
2020-03-01,Jefferson,CO,7
2020-03-01,La Plata,CO,4
2020-03-01,Larimer,CO,4
2020-03-01,Mesa,CO,2
2020-03-01,Pueblo,CO,2
2020-03-01,Summit,CO,2
2020-03-01,Weld,CO,6
2020-03-01,Città Metropolitana di Milano,CT,1
2020-03-01,Fairfield,CT,33
2020-03-01,Hartford,CT,17
2020-03-01,Litchfield,CT,3
2020-03-01,Middlesex,CT,2
2020-03-01,New Haven,CT,21
2020-03-01,New London,CT,3
2020-03-01,Windham,CT,1
2020-03-01,New Castle,DE,14
2020-03-01,Sussex,DE,2
2020-03-01,Bradford,FL,2
2020-03-01,Brevard,FL,5
2020-03-01,Broward,FL,18
2020-03-01,Charlotte,FL,2
2020-03-01,Citrus,FL,2
2020-03-01,Clay,FL,2
2020-03-01,Collier,FL,8
2020-03-01,Division No. 6,FL,1
2020-03-01,Duval,FL,14
2020-03-01,Escambia,FL,5
2020-03-01,Hamilton,FL,1
2020-03-01,Hernando,FL,5
2020-03-01,Highlands,FL,3
2020-03-01,Hillsborough,FL,17
2020-03-01,Lake,FL,3
2020-03-01,Lee,FL,4
2020-03-01,Leon,FL,2
2020-03-01,Manatee,FL,8
2020-03-01,Marion,FL,2
2020-03-01,Martin,FL,1
2020-03-01,Miami-Dade,FL,27
2020-03-01,Orange,FL,7
2020-03-01,Osceola,FL,1
2020-03-01,Palm Beach,FL,9
2020-03-01,Pasco,FL,5
2020-03-01,Pinellas,FL,18
2020-03-01,Polk,FL,8
2020-03-01,Putnam,FL,2
2020-03-01,Santa Rosa,FL,3
2020-03-01,Sarasota,FL,2
2020-03-01,Seminole,FL,1
2020-03-01,St. Lucie,FL,1
2020-03-01,Suwannee,FL,1
2020-03-01,Volusia,FL,2
2020-03-01,Barrow,GA,2
2020-03-01,Bibb,GA,4
2020-03-01,Bryan,GA,1
2020-03-01,Bulloch,GA,3
2020-03-01,Camden,GA,2
2020-03-01,Carroll,GA,2
2020-03-01,Chatham,GA,10
2020-03-01,Chattooga,GA,1
2020-03-01,Cherokee,GA,4
2020-03-01,Clarke,GA,5
2020-03-01,Clayton,GA,4
2020-03-01,Coffee,GA,2
2020-03-01,Columbia,GA,1
2020-03-01,Coweta,GA,1
2020-03-01,DeKalb,GA,7
2020-03-01,Dougherty,GA,2
2020-03-01,Douglas,GA,1
2020-03-01,Evans,GA,2
2020-03-01,Fayette,GA,4
2020-03-01,Floyd,GA,2
2020-03-01,Fulton,GA,12
2020-03-01,Glynn,GA,2
2020-03-01,Gordon,GA,2
2020-03-01,Gwinnett,GA,5
2020-03-01,Haralson,GA,1
2020-03-01,Henry,GA,3
2020-03-01,Lowndes,GA,1
2020-03-01,Murray,GA,1
2020-03-01,Muscogee,GA,4
2020-03-01,Peach,GA,1
2020-03-01,Polk,GA,1
2020-03-01,Spalding,GA,2
2020-03-01,Troup,GA,5
2020-03-01,Upson,GA,2
2020-03-01,Walker,GA,2
2020-03-01,Hawaii,HI,12
2020-03-01,Honolulu,HI,19
2020-03-01,Maui,HI,2
2020-03-01,Black Hawk,IA,3
2020-03-01,Buena Vista,IA,2
2020-03-01,Cerro Gordo,IA,2
2020-03-01,Clayton,IA,1
2020-03-01,Dubuque,IA,6
2020-03-01,Floyd,IA,1
2020-03-01,Hancock,IA,2
2020-03-01,Linn,IA,6
2020-03-01,Marion,IA,1
2020-03-01,Muscatine,IA,2
2020-03-01,Polk,IA,1
2020-03-01,Pottawattamie,IA,2
2020-03-01,Scott,IA,3
2020-03-01,Woodbury,IA,2
2020-03-01,Wright,IA,2
2020-03-01,Ada,ID,14
2020-03-01,Bamako,ID,1
2020-03-01,Bannock,ID,1
2020-03-01,Canyon,ID,5
2020-03-01,Idaho,ID,1
2020-03-01,Malheur,ID,1
2020-03-01,Teton,ID,1
2020-03-01,Cook,IL,133
2020-03-01,DuPage,IL,18
2020-03-01,Franklin,IL,2
2020-03-01,Grundy,IL,2
2020-03-01,Kane,IL,7
2020-03-01,Kankakee,IL,3
2020-03-01,Lake,IL,8
2020-03-01,Madison,IL,2
2020-03-01,McHenry,IL,1
2020-03-01,Perry,IL,1
2020-03-01,Randolph,IL,2
2020-03-01,Rock Island,IL,4
2020-03-01,Schuyler,IL,2
2020-03-01,Tazewell,IL,1
2020-03-01,Will,IL,10
2020-03-01,Winnebago,IL,4
2020-03-01,Allen,IN,2
2020-03-01,Blackford,IN,1
2020-03-01,Clark,IN,2
2020-03-01,Hamilton,IN,1
2020-03-01,Harrison,IN,2
