MONTH,request_count,is_hospital,total_requests,pct_requests
2020-03-01,376,hospital,4570,8.227571115973742
2020-03-01,4194,non-hospital,4570,91.77242888402625
2020-04-01,3925,hospital,6857,57.24077584949686
2020-04-01,2932,non-hospital,6857,42.75922415050314
2020-05-01,861,hospital,2584,33.32043343653251
2020-05-01,1723,non-hospital,2584,66.67956656346749
2020-06-01,1761,hospital,3345,52.64573991031391
2020-06-01,1584,non-hospital,3345,47.3542600896861
2020-07-01,214,hospital,806,26.550868486352357
2020-07-01,592,non-hospital,806,73.44913151364764
2020-08-01,80,hospital,392,20.408163265306122
2020-08-01,312,non-hospital,392,79.59183673469387
2020-09-01,43,hospital,242,17.768595041322314
2020-09-01,199,non-hospital,242,82.23140495867769
2020-10-01,32,hospital,261,12.260536398467432
2020-10-01,229,non-hospital,261,87.73946360153256
2020-11-01,67,hospital,350,19.142857142857142
2020-11-01,283,non-hospital,350,80.85714285714286
2020-12-01,67,hospital,574,11.67247386759582
2020-12-01,507,non-hospital,574,88.32752613240417
2021-01-01,190,hospital,852,22.300469483568076
2021-01-01,662,non-hospital,852,77.69953051643192
2021-02-01,50,hospital,405,12.345679012345679
2021-02-01,355,non-hospital,405,87.65432098765432
2021-03-01,167,hospital,805,20.74534161490683
2021-03-01,638,non-hospital,805,79.25465838509317
2021-04-01,197,hospital,1009,19.52428146679881
2021-04-01,812,non-hospital,1009,80.47571853320119
2021-05-01,89,hospital,497,17.90744466800805
2021-05-01,408,non-hospital,497,82.09255533199196
2021-06-01,43,hospital,322,13.354037267080745
2021-06-01,279,non-hospital,322,86.64596273291926
2021-07-01,2,hospital,17,11.76470588235294
2021-07-01,15,non-hospital,17,88.23529411764706
